listing_id,name,host_id,host_name,host_city,host_state,host_country,neighbourhood,property_type,room_type,review_scores_rating
27241020,"Luxurious, modern, Amsterdam dream apartment",24253582,Rogier,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,
27243197,"Houseboat City Centre Amsterdam ''Betelgeuze""",205189174,Anton,The Netherlands,,,Centrum-West,Private room in boat,Private room,90
27243577,Houseboat City Centre Amsterdam ''Capella'',205189174,Anton,The Netherlands,,,Centrum-West,Private room in boat,Private room,86
27243798,New Apartement near City Center for 4 guests!!,192244528,Ismail,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Entire apartment,Entire home/apt,75
27243808,"Houseboat city centre Amsterdam ""Fornax""",205189174,Anton,The Netherlands,,,Centrum-West,Private room in boat,Private room,91
27245464,Comfortable ground floor apartment in nice area,205203120,Corinne,The Netherlands,,,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,80
27248155,Luxery Bohemian Canal Apartment Amsterdam,205222133,Maya,Amsterdam,North Holland,The Netherlands,Noord-West,Entire apartment,Entire home/apt,98
27250038,Bright & fully equipped apt. @ heart of the city!,205236278,Lorenzo,The Netherlands,,,Centrum-Oost,Entire apartment,Entire home/apt,98
27250396,"Complete studio, nice and cosy",168672021,Hillie,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire apartment,Entire home/apt,100
27259153,Cosy Apartment Amsterdam Oost,26171576,Laure,Amsterdam,North Holland,The Netherlands,Oostelijk Havengebied - Indische Buurt,Entire apartment,Entire home/apt,100
27261394,Amsterdam Appartement,205342239,Michel,The Netherlands,,,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,
27262202,Luxury apt 4 business trav. in AMS best district,179845619,Erme,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,93
27266987,Cosy & light apartment near the Westerpark,6288763,Edith,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Entire apartment,Entire home/apt,100
27268364,City studio with amazing view!,205419221,Laura,The Netherlands,,,Bos en Lommer,Entire apartment,Entire home/apt,90
27271842,Lovely private room in Amsterdam-south,205436648,Lena,Amsterdam,North Holland,The Netherlands,Zuid,Private room in apartment,Private room,99
27273489,Perfect located high end apartment,77418704,Hein,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,80
27273502,Fantastic modern waterfront apartment,205451719,Maja,The Netherlands,,,IJburg - Zeeburgereiland,Entire apartment,Entire home/apt,100
27274919,Spacious apartment 10 minutes from the citycenter,35762825,Willem,Amsterdam,North Holland,The Netherlands,Watergraafsmeer,Entire apartment,Entire home/apt,99
27276686,Family house in Bos en Lommer,58353873,Tamara,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Entire apartment,Entire home/apt,89
27281605,@ Jo's,30470193,Jolien,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Private room in townhouse,Private room,100
27281726,Large two-story authentic Jordaan apartment,205515393,Inge,The Netherlands,,,Centrum-West,Entire apartment,Entire home/apt,82
27285241,Bright Family Home Museum Quarter / vondelpark,12217143,Andrew,The Netherlands,,,Zuid,Entire house,Entire home/apt,97
27298127,Trendy spacious apartment in the heart of the city,4959798,Annemijn,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,100
27298542,Modern Apartment in trendy A'dam Baarsjes / West,193484203,Kedy,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,97
27298796,Spacious east side city center canal apartment,913437,Yael,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire apartment,Entire home/apt,98
27301243,Wonderful apartment at the Museum Square,205680162,Mariska,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire apartment,Entire home/apt,96
27306522,Amsterdam,205725069,Floor,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire apartment,Entire home/apt,93
27307449,Great apartment in perfect location!,85624000,Joost,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,100
27308120,Apartment + garden in trendy area ‘de Baarsjes’,20372624,Fleur,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,100
27309384,Modern big house for 4-6pers Amsterdam,205749958,Bas,Amsterdam,North Holland,The Netherlands,De Aker - Nieuw Sloten,Entire house,Entire home/apt,
27309574,Typical modern Amsterdam apartment.,18040924,Arco,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,100
27311667,"Modern and cozy room, 25 minutes from City Center.",169552278,Vlad & Marina,Amsterdam,North Holland,The Netherlands,Bijlmer-Oost,Private room in townhouse,Private room,97
27319090,Family home near NDSM-werf,205841633,Maarten,Amsterdam,North Holland,The Netherlands,Noord-West,Entire house,Entire home/apt,100
27324682,Stylish canal view apartment,23619605,Jessica,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,92
27326505,Spacious & bright apartment next to the Vondelpark,65352053,Annick,The Netherlands,,,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,97
27332544,Apartment in Amsterdam in the Center of De Pijp,205955975,Julien,The Netherlands,,,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,98
27333979,Cosy Balcony Room in Amsterdam's Oud West,104137991,Carla,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Private room in apartment,Private room,94
27346603,Private room with canal view in peaceful area,41888346,Alissa,Amsterdam,North Holland,The Netherlands,Westerpark,Private room in apartment,Private room,99
