listing_id,name,host_id,host_name,host_city,host_state,host_country,neighbourhood,property_type,room_type,review_scores_rating
2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,Amsterdam,North Holland,The Netherlands,Oostelijk Havengebied - Indische Buurt,Private room in apartment,Private room,98
20168,Studio with private bathroom in the centre 1,59484,Alexander,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Private room in townhouse,Private room,89
25428,"Lovely, spacious 1 bed apt in Center(with lift)",56142,Joan,New York,New York,United States,Centrum-West,Entire apartment,Entire home/apt,100
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in houseboat,Private room,99
28871,Comfortable double room,124245,Edwin,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Private room in apartment,Private room,97
29051,Comfortable single room,124245,Edwin,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Private room in apartment,Private room,95
31080,2-story apartment + rooftop terrace,133488,Nienke,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,95
41125,Amsterdam Center Entire Apartment,178515,Fatih,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,96
43109,Oasis in the middle of Amsterdam,188098,Aukje,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,98
44129,Luxury design with canal view,187728,Tatiana,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,98
46386,Cozy loft in central Amsterdam,207342,Joost,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,93
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire guest suite,Entire home/apt,98
49790,Luxurous Houseboat-Great Location,227530,Klaas,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Boat,Entire home/apt,99
50515,"Family Home (No drugs, smoking or parties)",231864,Karin,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Entire townhouse,Entire home/apt,95
50523,B & B de 9 Straatjes (city center),231946,Raymond,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in bed and breakfast,Private room,97
52490,Amsterdam Aqua,185836,VictorLuke,Amsterdam,North Holland,The Netherlands,Oostelijk Havengebied - Indische Buurt,Private room in apartment,Private room,92
53067,Spacious studio at the attic of a townhouse,246493,DoJo,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Private room in guesthouse,Private room,93
53671,Nice room near centre with en suite bath,247822,Georg,Amsterdam,North Holland,The Netherlands,Westerpark,Private room in guest suite,Private room,91
55256,Luminous central room,260785,Lotte,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Private room in apartment,Private room,92
55621,"Fully equiped house, PIJP area = great",262846,Bharati,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,95
55807,"Greatly located, cozy atmosphere",263844,Rai & Clo,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Private room in apartment,Private room,97
55868,Apartment near Museumplein (centre),264178,Cornelie,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,97
56703,Amsterdam Apt near Amstel River,269050,Camiel,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire house,Entire home/apt,
58211,En Suite Apartment in a monumental canal house,278253,Marcel,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in townhouse,Private room,98
62015,"Charming, beautifully & sunny place with cat Luna",301340,Jessica,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire apartment,Entire home/apt,98
62801,Very nice appartment ALL of januari,306117,Jan,Great Bedwyn,England,United Kingdom,Bos en Lommer,Entire apartment,Entire home/apt,
64736,Luxury Houseboat,306192,Conny,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Houseboat,Entire home/apt,98
67841,Amsterdam - The Pijp Apartment 1A,335166,Dene,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,94
68290,Rebel - Private Room,336950,Manuel,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in apartment,Private room,96
68873,Yves Klein - Private Room,336950,Manuel,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in apartment,Private room,96
70598,Attic room with doublebed available,339333,Nadira,Amsterdam,North Holland,The Netherlands,Noord-West,Private room in house,Private room,95
75382,Garden Suite Studiohttps://www.airbnb.com/manage-l,399879,Tina,Amsterdam,North Holland,The Netherlands,Oud-Oost,Private room in apartment,Private room,95
75444,Cottage Room- Completely Private,399879,Tina,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Private room in apartment,Private room,94
75499,Red Studio Palamedes Amsterdam,400896,Edwin + Karin,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Private room in apartment,Private room,99
76459,Yellow Studio Palamedes Amsterdam,400896,Edwin + Karin,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Private room in townhouse,Private room,97
76668,"studio INN, bright and spacious",409579,Guido,Amsterdam,North Holland,The Netherlands,Westerpark,Room in bed and breakfast,Hotel room,97
80635,TOP LOCATED Canalhouse B&B Jordaan,436145,Riks,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in townhouse,Private room,95
82482,The Backroom - Central private appt,186729,Shawna,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire guesthouse,Entire home/apt,89
82748,Bright apt in central Amsterdam,450453,Rudolf,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,96
83814,Central Studio apartment in Trendy De Pijp,457263,Daniel,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,94
84057,Bed&Bike SleepOnNature - free bikes,459028,Stefania,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Room in bed and breakfast,Hotel room,95
85008,Museum district/Vondelpark studio-apartment,65041,Ym,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,85
91535,"Privat room and shared Houseboat ""Ramona"" centre",494281,Michiel,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Private room in boat,Private room,95
97221,Beautiful and spacious room,195859,Gianni,Amsterdam,North Holland,The Netherlands,Slotervaart,Private room in bed and breakfast,Private room,91
107195,"A'dam Centre, Bright and Comfy",249794,Marieke,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire apartment,Entire home/apt,95
108890,Amsterdam at its best,563208,Jorien,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,100
130390,Large private room for rent Center / De Pijp,642044,Jessy,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Private room in apartment,Private room,97
137901,Houseboat with beautiful view,673879,Paulien,Amsterdam,North Holland,The Netherlands,Zuid,Houseboat,Entire home/apt,90
141708,light modern & cosy apartment,689016,Cindy,Amsterdam,North Holland,The Netherlands,Oostelijk Havengebied - Indische Buurt,Entire apartment,Entire home/apt,95
148132,Bright room in lively Kinkerbuurt,715549,Remy,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Private room in apartment,Private room,95
155548,Apartment 2 minutes from Centrum!,748161,Maria,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire apartment,Entire home/apt,95
162467,Modern app. with brand new design bathroom,776296,Nicole,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,95
165833,Amsterdam at your feet,790547,Bart,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,97
168769,"SUPERLOCATED Room in CANALHOUSE, Private bath",436145,Riks,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in townhouse,Private room,91
169356,"Central,Rooftop 360',Zen,Canal-View, Bright,Quiet",806976,Nick,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire condominium,Entire home/apt,100
170223,canal view in Jordaan & 9 Streets,811403,Francine,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,97
171054,Spacious apartment next to center,815989,Kamiel,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,95
171498,Authentic Amsterdam Experience@Townhouse w/Rooftop,818319,Thijs,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,100
171631,"Pleasant,cosy & crazy apartment with small balcony",818479,Keja,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,96
174592,Cosy Apt | IN CITY CENTRE | Close to Artis Zoo,834139,Daniel,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire apartment,Entire home/apt,86
175989,Cat lover's paradise in Amsterdam's hottest street,58458,Dre,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,97
179528,Authentic Amsterdam apartment RAI,856540,Pierre,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,89
182839,"Central, quiet, design apartment",876866,Marian,Amsterdam,North Holland,The Netherlands,Oud-Noord,Entire apartment,Entire home/apt,98
189754,Metropolitan B&B centre Amsterdam,915591,Marijn,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in bed and breakfast,Private room,95
193038,Private Loft&Bathroom Ensuite Studio Ctr Amsterda,935742,Johan,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Private room in loft,Private room,99
198307,The best spot to discover Amsterdam,967796,Marie-Katrien,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,99
199844,ART & DESIGN APARTMENT,976652,Home,Amsterdam,North Holland,The Netherlands,Westerpark,Entire apartment,Entire home/apt,96
200461,Studio next 2 V´park near Leidsepl.,539840,Johanna,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,87
203658,Best Area - Large Luxury 3 Bdr Home,999036,Eelco,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,97
205759,Central yet quiet studio apartment,1011967,Tim,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,90
211408,Nice apt close to Amstel&citycenter,1090600,Flavio,Amsterdam,North Holland,The Netherlands,Watergraafsmeer,Private room in apartment,Private room,85
212050,Spacious home w roof garden,887591,Danielle,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,96
213721,Amsterdam Apartment (waterview),599238,Anouk,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,99
214531,LUXURIOUS GUESTHOUSE in CITY CENTER,1107389,Henry,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in apartment,Private room,96
219276,Suite in Canalhouse with Jacuzzi,1135329,Amsterdam Boutique Apartments,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in guest suite,Private room,100
222516,Cosy apartment in West | Quiet street | Netflix,1155595,Alex,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,94
230710,Jordaan apt with views of canals and Westerkerk,1205924,Peter,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire condominium,Entire home/apt,91
245927,Sonnenberg - Canal side & view - Private & Central,1005087,Wytse,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire guest suite,Entire home/apt,96
246750,"LOFT with terrace, super location!",1294098,Fernando,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,98
247805,"Bellavista, central,with canal view",1298735,Carolien,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Private room in apartment,Private room,97
250751,Modern studio near central AMS,1314658,Mira,Amsterdam,North Holland,The Netherlands,Oostelijk Havengebied - Indische Buurt,Entire apartment,Entire home/apt,92
251444,Luxurious apartment at the Prinsengracht,1318753,Vosse,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire condominium,Entire home/apt,97
252080,Amazing apartment historical centre,1322517,Evan,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire house,Entire home/apt,98
254104,The Flying Pancake B&B Amsterdam,1334704,Claudia,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Private room in bed and breakfast,Private room,98
254800,Amazing apartment in city center,1337537,Dj,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,98
255809,bed & bike with free parking the house of finer,1344947,Flo & André,Amsterdam,North Holland,The Netherlands,Buitenveldert - Zuidas,Private room in apartment,Private room,97
256670,"Caracteristic, family apartment",1350388,Stefan,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,91
258273,Great CENTRAL apartment De Pijp,1358307,Peter,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,72
262394,Charming Studio with Roof Terrace,1376607,Martin,Amsterdam,North Holland,The Netherlands,Zuid,Private room in apartment,Private room,96
265349,"Private, central & luxurious apment",1391689,Fleur,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,94
270839,Quiet room in sunny apartment on canal,1417625,Jan And Tota,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Private room in apartment,Private room,98
272597,"Luxury appartm, good neighbourhood",1426693,Arnoud,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,100
274688,Cozy sleeping in popular Amsterdam West,1435990,Marij,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Entire condominium,Entire home/apt,97
277011,nice apartment in centre amsterdam,1446698,Aafje,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,98
282269,Your central home in wonderful AMS!,1471195,Judith,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,100
283170,5-bedrooms house; central location,1451657,Marco,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,90
286374,Cozy and quiet 1 bedroom apartment,1173052,Anita,Amsterdam,North Holland,The Netherlands,Geuzenveld - Slotermeer,Entire apartment,Entire home/apt,100
286500,"Center,Canal View, Private Bathroom",1491565,David,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in apartment,Private room,98
290701,"Center, Large&Sunny Room,Pvt Bathrm",1491565,David,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in apartment,Private room,97
291637,cosy bedroom | garden | near center | breakfast,1247363,Alexa & Scott,Amsterdam,North Holland,The Netherlands,Watergraafsmeer,Private room in house,Private room,93
291752,Cozy & large bohemian style room,1511330,Ton,Amsterdam,North Holland,The Netherlands,Oud-Oost,Private room in apartment,Private room,97
293337,Sunny Apartment along river IJ,1493495,Tinda,Amsterdam,North Holland,The Netherlands,Oud-Noord,Private room in apartment,Private room,95
293514,Volledig huis-apartement,1518360,Mw,Amsterdam,North Holland,The Netherlands,Oud-Noord,Entire house,Entire home/apt,92
297220,Modern apartment + rooftop terrace @city centre,1532319,Anand,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,97
301220,Cosy apartment in charming Jordaan,1550321,Frederika,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,96
302426,Sunny family flat in the Jordaan!,1557454,Lia & Reinier,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,97
304082,Quiet studio in the heart of town with Garden!,276068,Mirre,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,94
304143,Unique Beautiful Houseboat (ship) in Center,1565319,Dick,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Boat,Entire home/apt,91
304189,Smack dab middle of Amsterdam,1565512,Benjamin,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,94
305809,Canal & Parkview Apartment,1573009,Clyde,Amsterdam,North Holland,The Netherlands,Westerpark,Entire apartment,Entire home/apt,98
306852,"SunShine, A Sunny Amsterdam Center Special",1141485,Gisèle And Simon,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire apartment,Entire home/apt,91
307497,Sailing Ship Amsterdam Centre (1),1582128,Petra,Amsterdam,North Holland,The Netherlands,Westerpark,Boat,Entire home/apt,98
307621,"SunBird, Sunny Apt in Quiet Street",1141485,Gisèle And Simon,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,90
308028,"SunFlower, A Sunny B&B + 2 Bicycles",1141485,Gisèle And Simon,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Private room in apartment,Private room,95
309436,"Luxurious 17C Canal Villa Apt, Low-cost Parking",1570754,Janet,Amsterdam,North Holland,The Netherlands,Oud-Noord,Entire villa,Entire home/apt,90
310722,Cozy Central Apartment Amsterdam,1598424,Valentijn,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,96
311124,*historic centre* *bright* *canal view* *jordaan*,1600010,Anke & Robert,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,95
311584,40 m2 Appartment near Leidseplein,1023895,Luca And Aldo,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,96
314673,"""The Roosevelt Apt"" Amsterdam RAI",1616799,Daan,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,99
319985,Elegant Appartement Central Location.,1640702,J,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,95
320689,Familyhome easy airport connection!,1642815,Janey,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,95
327285,beautiful designed ap.+bikes+garden,1672823,Ester,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Private room in townhouse,Private room,99
331946,Lovely FAMILY house near Vondelpark,1687595,Sebastiaan,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire loft,Entire home/apt,98
340994,Stay at 'Perfect appartement in the center' by the,1730202,Anja,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire apartment,Entire home/apt,98
343094,Amstel Nest - an urban retreat for two,1740785,Rob & Fang,Amsterdam,North Holland,The Netherlands,Oud-Oost,Private room in townhouse,Private room,98
345397,SPACIOUS historical Amsterdam apartment 120m2,1751751,Nyika,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,95
350271,Luxe boat AMSTERDAM IJBURG!!!,1775032,Agustina,Amsterdam,North Holland,The Netherlands,IJburg - Zeeburgereiland,Boat,Entire home/apt,80
357932,Amsterdam appartment + southgarden,1811552,Peter,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,93
357980,★ STYLISH FAMILY HOME - CITY CENTER,1811745,Marre,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire townhouse,Entire home/apt,97
361342,★ Stunning City Centre Apartment #3,1826139,Esther & Jan,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire serviced apartment,Entire home/apt,97
362458,"Bright, newly renovated apartment in Center-East",1831568,Roel,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire apartment,Entire home/apt,98
367107,"PEACEFUL HOME IN HISTORIC CENTRE, NEXT TO AMSTEL",1853421,Marijn,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire apartment,Entire home/apt,100
367491,"Charming, bright and quiet home center Amsterdam",1855417,Maarten,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,98
378523,Freedom on the water!,1901477,Caroline,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Boat,Entire home/apt,99
379885,Private Studio Houseboat *BEST VIEW* @ Amstel,1907015,Masha,Amsterdam,North Holland,The Netherlands,Oud-Oost,Private room in houseboat,Private room,93
384909,"Central Loft, Great Rooftop Terrace",1927004,Lisanne,Amsterdam,North Holland,The Netherlands,Westerpark,Entire loft,Entire home/apt,93
387644,"Lovely apt, Amsterdam /Jordaan.",1939619,Melih,Amsterdam,North Holland,The Netherlands,Westerpark,Entire apartment,Entire home/apt,96
396125,Room in Jordaan Heart of Amsterdam,1979865,Carolyn,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in apartment,Private room,97
402353,Comfortable design apartment with roof terrace,2008330,Lidy,Amsterdam,North Holland,The Netherlands,Watergraafsmeer,Entire apartment,Entire home/apt,97
406794,Beautiful spacious 130m family home,325306,Michiel,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire house,Entire home/apt,95
408794,Rooftop Terrace Luxury Loft Centre Amsterdam,2035506,Janto (B),Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,92
411401,Beautiful apartment in AMS!,2048100,Boris,Amsterdam,North Holland,The Netherlands,Slotervaart,Entire apartment,Entire home/apt,90
414865,"Charming house, perfect for two!",2063261,Miranda,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,97
414917,Cent Adam Lux (2-4p) Apt 90 sqm(m2),2063612,Jan,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire apartment,Entire home/apt,98
415619,Sunny Amsterdam East Harbor View,1336633,Stephan,Amsterdam,North Holland,The Netherlands,Oostelijk Havengebied - Indische Buurt,Entire apartment,Entire home/apt,98
418098,Beautiful 19th Cent. City Apartment,2078292,Annemarije,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,97
422044,★ City Centre Loft #4,1826139,Esther & Jan,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,97
431635,Sunny apartment with cat,1939922,Hannes,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Entire apartment,Entire home/apt,95
432233,Beautiful apartment @ true center,2144360,Feiko,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire apartment,Entire home/apt,95
437757,COOL DESIGN HOUSE with WiFi,2174719,Natalie,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,92
439097,Bright apt in central Amsterdam,2181530,Janneke,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,98
440992,Charming houseboat near Olympic St.,2191136,Jan,Amsterdam,North Holland,The Netherlands,Zuid,Boat,Entire home/apt,97
441424,Family house in centre of Amsterdam,2193861,Marco,Amsterdam,North Holland,The Netherlands,Oostelijk Havengebied - Indische Buurt,Entire house,Entire home/apt,91
444935,Fantastic apartment right in the city centre,2059471,Daisy,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire townhouse,Entire home/apt,89
445660,cosy room with private entrance,2202945,Heleen,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Private room in guest suite,Private room,96
446592,Three colourful art rooms in trendy Pijp,1543378,Daniel And Thera,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Private room in apartment,Private room,91
447151,creative ground floor house close to Vondelpark,2220492,Raymond,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,93
450767,Houseboat 'Saturnus' Amsterdam,2238440,Richard En Birgit,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire apartment,Entire home/apt,92
451719,FABULOUS MODERN LOFT IN JORDAAN,2243649,Martin & Smadar,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,97
455881,"Superb, quiet home with garden!",81046,Fabienne,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire apartment,Entire home/apt,100
460469,Great apartment near the centre,1997447,Suzan,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire apartment,Entire home/apt,95
462341,Central 17th Century Unique House,2297302,Milen & Joes,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire house,Entire home/apt,99
463636,GROUNDFLOOR IN WESTERPARK + WIFI and a comfy bed,860750,Mieke,Amsterdam,North Holland,The Netherlands,Westerpark,Entire apartment,Entire home/apt,93
467103,Luxurious apartment @ Dam Square,2313040,Willem,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,98
474452,Amsterdam-Beatiful entire apartment,2352274,Alexander,Bergen,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,95
480245,Cosy apartment along the Amstel.,2378237,Rachelle,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire condominium,Entire home/apt,97
481664,Live the life of A'dam on water!,1382273,Eltjo&Liselore,Amsterdam,North Holland,The Netherlands,Westerpark,Private room in guest suite,Private room,94
483779,Spacious studio apartment in A'dam,2395278,Alex,Amsterdam,North Holland,The Netherlands,Slotervaart,Private room in apartment,Private room,98
484836,Modern 3 bedroom apt. + garden near Jordaan,2396890,Esther,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,97
489418,Central quiet ap'ment with parcview,2418579,Julia,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Entire apartment,Entire home/apt,88
490374,Family apartment 80m2 near Vondelpark,2397045,Nick,Amsterdam,North Holland,The Netherlands,Slotervaart,Entire apartment,Entire home/apt,91
496953,Luxury design B&B in city centre,2453971,Kim,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Private room in bed and breakfast,Private room,97
502869,"Light filled, split level, cosy and clean home",2480479,Claire,Amsterdam,North Holland,The Netherlands,Westerpark,Entire apartment,Entire home/apt,97
503629,"Quiet & spacious apt, near Museums & Concertgebouw",2483843,Alban,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,96
505012,Centre Amsterdam perfect for family,1645998,Djoke,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Entire apartment,Entire home/apt,94
505650,Stylish Design Apartment,2492723,Irene,Amsterdam,North Holland,The Netherlands,Zuid,Private room in apartment,Private room,99
505804,Light studio in centre of Amsterdam,2493425,Simone,Amsterdam,North Holland,The Netherlands,Westerpark,Entire apartment,Entire home/apt,97
510836,★ Combo City Centre Apartments,1826139,Esther & Jan,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire serviced apartment,Entire home/apt,97
514946,Typical Amsterdam apt. in center,2536209,Martijn,Amsterdam,North Holland,The Netherlands,Watergraafsmeer,Entire apartment,Entire home/apt,100
515088,Familyfriendly Suite incl breakfast,2536879,Hansje,Amsterdam,North Holland,The Netherlands,Noord-Oost,Private room in apartment,Private room,100
515921,Apartment near centre with amazing view over city,2541099,Anne-Marie,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,84
517092,4 bedroom apartment near the park,2041793,Bas,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,
517996,Bright Canal house with amazing view! @the Jordaan,2550339,Aemilia,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,97
522471,Beautiful grand appartment (135 m2),2569931,Harriet,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Entire apartment,Entire home/apt,99
528022,Somewhere Else,2594559,Els,Amsterdam,North Holland,The Netherlands,Westerpark,Private room in boat,Private room,98
537321,Comfortable and pleasant apartment,2639261,Vera,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,98
538723,Beautiful ground floor apartment,356740,Dimphy,Amsterdam,North Holland,The Netherlands,Watergraafsmeer,Entire condominium,Entire home/apt,97
543930,Family Friendly Spacious Appartment,2674073,Daan & Jelena,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire apartment,Entire home/apt,100
543932,PLAYFUL SPLIT-LEVEL LOFT+GARDEN,2303229,Dirk,Amsterdam,North Holland,The Netherlands,Westerpark,Entire loft,Entire home/apt,93
